id,value
bias,https://en.wikipedia.org/wiki/Bias
bias.Information overload,https://en.wikipedia.org/wiki/Information_overload
bias.Information overload.Repeation and memory is noticed,
bias.Information overload.Repeation and memory is noticed.Availability heuristic,https://en.wikipedia.org/wiki/Availability_heuristic
bias.Information overload.Repeation and memory is noticed.Attentional bias,https://en.wikipedia.org/wiki/Attentional_bias
bias.Information overload.Repeation and memory is noticed.Illusory truth effect,https://en.wikipedia.org/wiki/Illusory_truth_effect
bias.Information overload.Repeation and memory is noticed.Mere exposure effect,https://en.wikipedia.org/wiki/Mere-exposure_effect
bias.Information overload.Repeation and memory is noticed.Context effect,https://en.wikipedia.org/wiki/Cue-dependent_forgetting
bias.Information overload.Repeation and memory is noticed.Frequency illusion,http://rationalwiki.org/wiki/Frequency_illusion
bias.Information overload.Repeation and memory is noticed.Empathy gap,https://en.wikipedia.org/wiki/Empathy_gap
bias.Information overload.Repeation and memory is noticed.Omission bias,https://en.wikipedia.org/wiki/Omission_bias
bias.Information overload.Repeation and memory is noticed.Base rate fallacy,https://en.wikipedia.org/wiki/Base_rate_fallacy
bias.Information overload.Bizarre things stick out,
bias.Information overload.Bizarre things stick out.Bizarreness effect,https://en.wikipedia.org/wiki/Bizarreness_effect
bias.Information overload.Bizarre things stick out.Von Restorff effect,https://en.wikipedia.org/wiki/Von_Restorff_effect
bias.Information overload.Bizarre things stick out.Picture superiority effect,https://en.wikipedia.org/wiki/Picture_superiority_effect
bias.Information overload.Bizarre things stick out.Self-relevance effect,https://en.wikipedia.org/wiki/Self-reference_effect
bias.Information overload.Bizarre things stick out.Negativity bias,https://en.wikipedia.org/wiki/Negativity_bias
bias.Information overload.Change is noticed,
bias.Information overload.Change is noticed.Anchoring,https://en.wikipedia.org/wiki/Anchoring
bias.Information overload.Change is noticed.Money illusion,https://en.wikipedia.org/wiki/Money_illusion
bias.Information overload.Change is noticed.Framing effect,https://en.wikipedia.org/wiki/Framing_effect_%28psychology%29
bias.Information overload.Change is noticed.WeberFechner law,https://en.wikipedia.org/wiki/Weber%E2%80%93Fechner_law
bias.Information overload.Change is noticed.Conservatism,https://en.wikipedia.org/wiki/Conservatism_%28belief_revision%29
bias.Information overload.Change is noticed.Distinction bias,https://en.wikipedia.org/wiki/Distinction_bias
bias.Information overload.Details confirm beliefs,
bias.Information overload.Details confirm beliefs.Confirmation bias,https://en.wikipedia.org/wiki/Confirmation_bias
bias.Information overload.Details confirm beliefs.Congruence bias,https://en.wikipedia.org/wiki/Congruence_bias
bias.Information overload.Details confirm beliefs.Post-purchase rationalization,https://en.wikipedia.org/wiki/Choice-supportive_bias
bias.Information overload.Details confirm beliefs.Choice-supportive bias,https://en.wikipedia.org/wiki/Choice-supportive_bias
bias.Information overload.Details confirm beliefs.Selective perception,https://en.wikipedia.org/wiki/Selective_perception
bias.Information overload.Details confirm beliefs.Observer-expectancy effect,https://en.wikipedia.org/wiki/Observer-expectancy_effect
bias.Information overload.Details confirm beliefs.Ostrich effect,https://en.wikipedia.org/wiki/Ostrich_effect
bias.Information overload.Details confirm beliefs.Subjective validation,https://en.wikipedia.org/wiki/Subjective_validation
bias.Information overload.Details confirm beliefs.Continued influence effect,https://en.wikipedia.org/wiki/Confirmation_bias#continued_influence_effect
bias.Information overload.Details confirm beliefs.Semmelweis reflex,https://en.wikipedia.org/wiki/Semmelweis_reflex
bias.Information overload.Flaws in others noticed,
bias.Information overload.Flaws in others noticed.Bias blind spot,https://en.wikipedia.org/wiki/Bias_blind_spot
bias.Information overload.Flaws in others noticed.Naive cynicism,https://en.wikipedia.org/wiki/Na%C3%AFve_cynicism
bias.Information overload.Flaws in others noticed.Naive realism,https://en.wikipedia.org/wiki/Na%C3%AFve_realism_%28psychology%29
bias.Lack of meaning,
bias.Lack of meaning.Stories in sparse data,
bias.Lack of meaning.Stories in sparse data.Confabulation,https://en.wikipedia.org/wiki/Confabulation
bias.Lack of meaning.Stories in sparse data.Clustering illusion,https://en.wikipedia.org/wiki/Clustering_illusion
bias.Lack of meaning.Stories in sparse data.Insensitivity to sample size,https://en.wikipedia.org/wiki/Insensitivity_to_sample_size
bias.Lack of meaning.Stories in sparse data.Neglect of probability,https://en.wikipedia.org/wiki/Neglect_of_probability
bias.Lack of meaning.Stories in sparse data.Anecdotal fallacy,https://yourlogicalfallacyis.com/anecdotal
bias.Lack of meaning.Stories in sparse data.Illusion of validity,https://en.wikipedia.org/wiki/Illusion_of_validity
bias.Lack of meaning.Stories in sparse data.Masked man fallacy,https://en.wikipedia.org/wiki/Masked-man_fallacy
bias.Lack of meaning.Stories in sparse data.Recency illusion,https://en.wikipedia.org/wiki/Recency_illusion
bias.Lack of meaning.Stories in sparse data.Gamblers fallacy,https://en.wikipedia.org/wiki/Gambler%27s_fallacy
bias.Lack of meaning.Stories in sparse data.Hot-hand fallacy,https://en.wikipedia.org/wiki/Hot-hand_fallacy
bias.Lack of meaning.Stories in sparse data.Illusory correlation,https://en.wikipedia.org/wiki/Illusory_correlation
bias.Lack of meaning.Stories in sparse data.Pareidolia,https://en.wikipedia.org/wiki/Pareidolia
bias.Lack of meaning.Stories in sparse data.Anthropomorphism,https://en.wikipedia.org/wiki/Anthropomorphism#Psychology_of_anthropomorphism
bias.Lack of meaning.Information gaps are generalized,
